experiment_id,dataset,script,model_arch,label_map,train_data,val_data,train_labels,eval_labels,label_space_match,micro_f1,macro_f1,micro_auc,p_at_5,r_at_5,p_at_8,r_at_8,p_at_10,r_at_10,p_at_15,r_at_15,eval_protocol_valid,notes
V2,台中榮總,!step2_train_v2.py,BERT [CLS],Bio_ClinicalBERT,label_map_v2.json,train_v2.json,val_v2.json,14789,14789,YES,512,39.64,0.81,98.38,,,,,,,,PENDING_PK,"無清洗；14,789 labels；F-codes 保留；seed=42"
V3.1,台中榮總,!step2_train_v3_longformer.py,Longformer,Clinical-Longformer,label_map_v2.json,train_v2.json,val_v2.json,14789,14789,YES,1024,14.00,0.01,95.95,,,,,,,,PENDING_PK,"Longformer 首次；用 V2 資料；成績異常 -25% → 需重驗"
V5,台中榮總,!!!step2_train_v5_longformer.py,Longformer,Clinical-Longformer,label_map_v5.json,train_v5.json,val_v5.json,2099,2099,YES,1024,29.35,0.66,91.17,,,,,,,,PENDING_PK,"Longformer 二次；清洗後 2099 labels；仍低於 BERT -34%"
V5.1,台中榮總,!!!!step2_train_v5_bert.py,BERT [CLS],Bio_ClinicalBERT,label_map_v5.json,train_v5.json,val_v5.json,2099,2099,YES,512,63.72,21.93,98.92,0.5136,0.7242,0.3683,0.7938,0.3072,0.8164,0.2175,0.8513,VALID,"評估正確；P@8=36.83% R@8=79.38%"
V6,台中榮總,未知訓練腳本,BERT DR-CAML,Bio_ClinicalBERT,label_map_v5.json (推測),未知,未知,2099,2099,YES (推測),512,67.27,38.42,98.96,,,,,,,,PENDING_PK,"V6 最佳模型；訓練腳本非 V2 目錄內；需確認" 
V6.2,MIMIC-IV,!V6!step5_train_v6_2_cls_baseline.py,BERT [CLS],Bio_ClinicalBERT,label_map_v6_4.json,train_v6_4_mimic_clean.json,val_v6_4_fixed.json,2496,2460,YES,512,32.54,2.88,96.98,0.6007,0.2731,0.5055,0.3532,0.4568,0.3927,0.3730,0.4681,VALID,"MIMIC [CLS] baseline；P@8=50.55% R@8=35.32%"
V6.3,MIMIC-IV,!V6!step5_train_v6_3_dr_caml.py,BERT DR-CAML,Bio_ClinicalBERT,label_map_v6_3.json,train_v6_3_mimic_full.json,val_v6_3_fixed.json,16155,7774,YES,512,34.72,0.96,98.97,0.6317,0.2625,0.5319,0.3407,0.4827,0.3798,0.3920,0.4507,VALID,"MIMIC 全標籤 (16K)；修正後 +3.16% vs 原報告"
V6.4,MIMIC-IV,!V6!step6_evaluate_v6_dr_caml.py,BERT DR-CAML,Bio_ClinicalBERT,label_map_v5.json (MISMATCH),train_v6_4_mimic_clean.json,val_v5.json (MISMATCH),2496,2099,NO,512,36.45,5.81,96.54,,,,,,,,INVALID,"val_v5.json + label_map_v5.json 評 V6.4 model → 低估 5%"
V6.4_fixed,MIMIC-IV,opencode_fix/step1_evaluate_v6_4_fixed.py,BERT DR-CAML,label_map_v6_4.json,train_v6_4_fixed.json,val_v6_4_fixed.json,2496,2496,YES,41.44,7.03,97.60,0.0000,0.3093,0.5653,0.0000,0.0000,0.4469,0.4164,0.5268,valid,"修正後真實性能"
V6.4_headtail,MIMIC-IV,opencode_fix/step3_evaluate_head_tail.py,BERT DR-CAML,label_map_v6_4.json,_,val_v6_4_fixed.json,2496,2496,YES,31.94,5.35,96.49,0.0000,0.2593,0.4769,0.0000,0.0000,0.3774,0.3544,0.4519,valid,"Head+Tail 截斷反而更差"
